url,images,description,title
http://stlouis.craigslist.org/ppd/3827069432.html,,"
		Happy's has the best prices in town Washers, Dryers, Stoves, and Refrigerators all starting at just $100","
  "
http://stlouis.craigslist.org/ppd/3822413710.html,,"
		LIKE NEW WASHERS WITH WARRANTY CAN DELIVER $119-$159 PLEASE CALL ME AT 314-359-5520 THANK YOU AND GOD BLESS ALL
	","
  "
http://stlouis.craigslist.org/ppd/3813231835.html,,"
		LIKE NEW APARTMENT SIZE DRYER $129 WORKS ON REGULAR PLUG  ALSO HAVE MATCHING WASHER $139 ROLLS & HOOKS UP TO SINK COMES WITH WARRANTY CAN DELIVER PLEASE CALL ME AT 314-359-5520
	","
  "
http://stlouis.craigslist.org/ppd/3811737934.html,,"
		DISHWASHERS LIKE NEW DIFFERENT COLORS TO CHOOSE FROM ALL COME WITH WARRANTY CAN DELIVER PLEASE CALL ME AT 314-359-5520 THANK YOU AND GOD BLESS ALL
	","
  "
http://stlouis.craigslist.org/ppd/3798757468.html,,"
		MUST STOP IN AND SEE CALL ME AT  314-225-4650--
	","
  "
http://stlouis.craigslist.org/ppd/3794197584.html,,"
		PLEASE CALL US AT 314-614-7434----&-----314-612--00--32 ","
  "
http://stlouis.craigslist.org/ppd/3822407148.html,,"
		LIKE BRAND NEW DRYERS $110-$139 WITH   WARRANTY CAN DELIVER PLEASE CALL ME AT 314-359-5520 THANK YOU AND GOD BLESS 
	","
  "
http://stlouis.craigslist.org/ppd/3827170302.html,,"
		Gas Dryers On Sale starting at $125  ","
  "
http://stlouis.craigslist.org/ppd/3827079542.html,,"
		WASHERS-DRYERS-STOVES-REFRIGERATOR -DISHWASHERS-AND MUCH MORE ALL COME WITH FULL WARRANTY CAN DELIVER PLEASE CALL ME AT 314-359-5520 THANK YOU AND GOD BLESS ALL
	","
  "
http://stlouis.craigslist.org/ppd/3827079778.html,,"
		Gas Ranges On Sale At Frosty's Appliance","
  "
