url,images,description,title
http://stlouis.craigslist.org/ppd/3821999289.html,,"
		SCRATCH & DENTS ,$599 (Quality ,Top Rated,Appliances,&,YOU,$AVE)","
  "
http://stlouis.craigslist.org/ppd/3811506115.html,,"
		314-614-7434..text or call best deals in Saint Louis and Saint Charles..314-440-8519%$$$$$699. S!!AND UP!WAY CHEAPER THEN THE BIG STORE
	","
  "
http://stlouis.craigslist.org/ppd/3826479383.html,,"
		Top Mount Refrigerators On Sale starting at $150  ","
  "
http://stlouis.craigslist.org/ppd/3811407143.html,,"
		Call or Text at 314-612-0032 for appointments.   fridges  New $749-$1100.  Diswasher  s$ 249.-and up! $399.New is half price of anybody box store
	","
  "
http://stlouis.craigslist.org/ppd/3796269087.html,,"
		#call#+++++or text @#314-614-7434#$.699.-$979..   SAME ONES AT BEST BUY!!!!$1299.-$2598.----YOU DO THE MATH$$$$$
	","
  "
http://stlouis.craigslist.org/ppd/3769167595.html,,"
		WE ARE NEEDING SOMEONE WHO KNOWS HOW TO USE A COMPUTER EFFICIENTLY.","
  "
http://stlouis.craigslist.org/ppd/3768490603.html,,"
		WE HAVE USED FRIDGE STARTING AT ","
  "
http://stlouis.craigslist.org/ppd/3826574157.html,,"
		Top Mount Refrigerators On Sale starting at $150  ","
  "
http://stlouis.craigslist.org/ppd/3768483697.html,,"
		WE HAVE 7 FILE CABINETS. THEY HAVE 4 DRAWERS IN EACH. THEY ARE FOR SALE AT THE LOCATION BELOW.","
  "
http://stlouis.craigslist.org/ppd/3789857449.html,,"
		Happy's has Washer & Dryer sets starting at just $200 ","
  "
http://stlouis.craigslist.org/ppd/3789009182.html,,"
		Happy's has Washer & Dryer sets starting at only $200","
  "
http://stlouis.craigslist.org/ppd/3811967075.html,,"
		No membership needed to get great deals on half price appliances top name brand LG Samsung GE 314-612-0032 Used appliances 99 dollars in up! Brand new scratching  and carton damage Damages not noticeable! But 50 percent of the price If you like to save tons of money definitely check us out!
	","
  "
http://stlouis.craigslist.org/ppd/3826483460.html,,"
		314-614-7434","
  "
