url,images,description,title
http://stlouis.craigslist.org/ppd/3826633503.html,,"
		Electric Dryers On Sale starting at $125  ","
  "
http://stlouis.craigslist.org/ppd/3798684964.html,,"
		314-614-7434..text or call best deals in Saint Louis and Saint Charles..314-440-8519%$$$$$699. S!!AND UP!WAY CHEAPER THEN THE BIG STORE
	","
  "
http://stlouis.craigslist.org/ppd/3814065775.html,,"
		Happy's has Washers, Dryers, Stoves, and Refrigerators all starting at only $100","
  "
http://stlouis.craigslist.org/ppd/3826634238.html,,"
		314-614-7434","
  "
http://stlouis.craigslist.org/ppd/3826643174.html,,"
		We Carry All Styles & Colors Save Over 50%% OFF ","
  "
http://stlouis.craigslist.org/ppd/3826632650.html,,"
		314-614----7434","
  "
http://stlouis.craigslist.org/ppd/3826648371.html,,"
		Gas Dryers On Sale starting at $125  ","
  "
http://stlouis.craigslist.org/ppd/3790602105.html,,"
		Happy's has the best prices in town Washers, Dryers, Stoves, and Refrigerators all starting at just $100","
  "
http://stlouis.craigslist.org/ppd/3791164531.html,,"
		  SUPER CAPACITY WASHER.  EXCELLENT CONDITION AND COMES WITH A FULL 6 MONTH WARRANTY   DELIVERY IS AVAILABLE  STOP BY AND SEE US WE ARE OPEN 7 DAYS A WEEK     DISCOUNT APPLIANCE  12671 NEW HALLS FERRY RD. FLORISSANT MO.  63033  OR GIVE US A CALL 314-839-5100  ","
  "
http://stlouis.craigslist.org/ppd/3822170012.html,,"
		Different  models  &  colors  to  choose  from  ,,,LED lights  ,,Cabinet Depth,French Styles,,","
  "
http://stlouis.craigslist.org/ppd/3822189063.html,,"
		  SIDE  BY  SIDE  ,,34  OR  FOUR  DOOR  FRENCH ,,,WATER /ICE /LED/cheap !!!CALL    314----612****0032
	","
  "
http://stlouis.craigslist.org/ppd/3822180179.html,,"
		Come  Take A  L*O*OK* ----In  All  Colors ,,","
  "
http://stlouis.craigslist.org/ppd/3822176667.html,,"
		Different  styles  &  models //LG ,Samsung ,&,GE Profile<>At low prices ,,","
  "
http://stlouis.craigslist.org/ppd/3790603291.html,,"
		Happy's has Washer & Dryer sets starting at just $200","
  "
http://stlouis.craigslist.org/ppd/3822175586.html,,"
		side by sides  ,,top  mounts,,french door ,cabinet depth ,,,SAVE,,,call 314-667**5661** or  314--667-5200  ","
  "
http://stlouis.craigslist.org/ppd/3826654703.html,,"
		Top Mount Refrigerators On Sale starting at $150  ","
  "
http://stlouis.craigslist.org/ppd/3826618766.html,,"
		Washers On Sale starting at $125  ","
  "
http://stlouis.craigslist.org/ppd/3776455765.html,,"
		Andrews Appliance has matching washer and dryer sets starting out at $250. All machines come with a 100% warranty and same day delivery is not a problem. Andrews is a small family owned and operated business that has been serving the area since 1969!! Call us today or check out our website www.andrewsappliance.net","
  "
http://stlouis.craigslist.org/ppd/3778147062.html,,"
		Happy's appliance has clean name brand appliances, Washers, Dryers, Ranges, and Refrigerators all starting at $100","
  "
